fecha,finalidad,funcion,devengado
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,22184.18
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,22484.71
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,23285.71
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,23326.19
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,23375.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,24054.82
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,24600.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,24988.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,25864.10
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,27613.50
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,27635.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,27788.08
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,28096.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,28450.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,28714.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,29401.60
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,29595.84
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,30133.74
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,31060.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,32156.61
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,33150.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,33572.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,34264.01
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,34823.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,35041.58
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,35605.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,37459.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,41338.87
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,42180.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,45388.70
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,45571.98
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,45850.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,46239.12
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,46260.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,47758.76
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,49280.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,49838.88
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,50206.06
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,52669.23
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,53334.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,62076.19
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,63094.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,63712.50
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,65780.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,66672.48
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,67975.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,69867.47
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,72274.60
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,76862.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,82751.23
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,83526.25
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,87687.49
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,101892.13
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,108786.33
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,122086.51
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,123884.31
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,152595.39
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,164935.01
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,169750.55
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,170015.12
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,178097.36
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,180000.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,200444.73
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,202146.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,220715.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,231520.62
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,279594.72
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,355569.38
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,639413.48
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,688483.35
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,856485.32
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios culturales,4144469.32
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,44.80
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,44.90
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,49.40
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,76.70
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,95.20
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,106.40
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,111.70
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,119.85
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,300.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,311.07
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,321.00
2026-08-12,"ACTIVIDADES RECREATIVAS, CULTURA Y RELIGION",Servicios recreativos y deportivos,373.50
