fecha,departamento,municipio,devengado
2026-08-12,BENI,Baures,50658.33
2026-08-12,BENI,Baures,1411190.97
2026-08-12,BENI,Exaltación,50330.00
2026-08-12,BENI,Exaltación,1126387.90
2026-08-12,BENI,GIA Territorio Indígena Multiétnico,169148.83
2026-08-12,BENI,Huacaraje,10500.00
2026-08-12,BENI,Huacaraje,482489.32
2026-08-12,BENI,Loreto,26508.78
2026-08-12,BENI,Loreto,303923.47
2026-08-12,BENI,MULTIMUNICIPAL,38049.11
2026-08-12,BENI,MULTIMUNICIPAL,353945.10
2026-08-12,BENI,Magdalena,11832.40
2026-08-12,BENI,Magdalena,1204650.08
2026-08-12,BENI,PUERTO SILES,12000.00
2026-08-12,BENI,PUERTO SILES,37207.16
2026-08-12,BENI,Puerto Guayaramerín,12750.00
2026-08-12,BENI,Puerto Guayaramerín,703604.16
2026-08-12,BENI,Puerto Guayaramerín,1457198.35
2026-08-12,BENI,Puerto Guayaramerín,2746692.97
2026-08-12,BENI,Puerto Rurrenabaque,2958143.28
2026-08-12,BENI,Reyes,911026.81
2026-08-12,BENI,Riberalta,110673.97
2026-08-12,BENI,Riberalta,135212.61
2026-08-12,BENI,Riberalta,212439.88
2026-08-12,BENI,Riberalta,681359.18
2026-08-12,BENI,Riberalta,4494529.22
2026-08-12,BENI,Riberalta,10094663.27
2026-08-12,BENI,San Andrés,15866.35
2026-08-12,BENI,San Andrés,783951.09
2026-08-12,BENI,San Andrés,1147483.44
2026-08-12,BENI,San Andrés,2145776.32
2026-08-12,BENI,San Borja,1510.00
2026-08-12,BENI,San Borja,8692.40
2026-08-12,BENI,San Borja,59436.48
2026-08-12,BENI,San Borja,5273924.84
2026-08-12,BENI,San Ignacio,61.40
2026-08-12,BENI,San Ignacio,46879.59
2026-08-12,BENI,San Ignacio,250096.00
2026-08-12,BENI,San Ignacio,1895499.10
2026-08-12,BENI,San Javier,32555.52
2026-08-12,BENI,San Javier,897297.46
2026-08-12,BENI,San Joaquín,42449.43
2026-08-12,BENI,San Joaquín,740658.43
2026-08-12,BENI,San Ramón,16232.70
2026-08-12,BENI,San Ramón,235507.38
2026-08-12,BENI,Santa Ana,52514.12
2026-08-12,BENI,Santa Ana,2056551.60
2026-08-12,BENI,Santa Rosa,2273.50
2026-08-12,BENI,Santa Rosa,2757407.72
2026-08-12,BENI,Trinidad,222.00
2026-08-12,BENI,Trinidad,4634.27
2026-08-12,BENI,Trinidad,62358.17
2026-08-12,BENI,Trinidad,69006.49
2026-08-12,BENI,Trinidad,115011.60
2026-08-12,BENI,Trinidad,174644.45
2026-08-12,BENI,Trinidad,230559.67
2026-08-12,BENI,Trinidad,304826.30
2026-08-12,BENI,Trinidad,358646.35
2026-08-12,BENI,Trinidad,896954.02
2026-08-12,BENI,Trinidad,3427300.41
