fecha,sector,actividad,devengado
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION FINANCIERA,22842369.53
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,2798.00
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,3702.84
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,4035.95
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,4777.00
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,6625.23
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,6748.72
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,7744.80
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,7987.95
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,8521.00
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,11106.78
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,15415.95
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,16585.22
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,17506.50
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,17872.49
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,18651.76
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,20870.79
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,22591.62
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,26801.00
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,26840.61
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,27846.48
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,27951.73
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,28058.05
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,28373.61
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,28619.75
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,28828.36
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,29288.16
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,30510.00
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,33368.98
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,33990.90
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,35220.18
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,35345.86
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,36142.70
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,36327.85
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,37107.53
