fecha,grupo,partida,devengado
2026-08-12,ACTIVOS FINANCIEROS,Acciones y Participaciones de Capital en Empresas Privadas Nacionales,2667.31
2026-08-12,ACTIVOS FINANCIEROS,Colocación de Fondos en Fideicomiso,3848655.2799999993
2026-08-12,ACTIVOS FINANCIEROS,Colocación de Fondos en Fideicomiso,116026884.86000001
2026-08-12,ACTIVOS FINANCIEROS,Concesión de Préstamos a Corto Plazo al Sector Privado,8088409.1000000015
2026-08-12,ACTIVOS FINANCIEROS,Concesión de Préstamos a Largo Plazo a Entidades Territoriales Autónomas,51266910.85
2026-08-12,ACTIVOS FINANCIEROS,Concesión de Préstamos a Largo Plazo al Sector Privado,22726128.0
2026-08-12,ACTIVOS FINANCIEROS,Concesión de Préstamos a Largo Plazo al Sector Privado,30244807.6
2026-08-12,ACTIVOS FINANCIEROS,Títulos y Valores a Largo Plazo,630000.0
2026-08-12,ACTIVOS REALES,Activos Intangibles,1563.0
2026-08-12,ACTIVOS REALES,Activos Intangibles,6960.0
2026-08-12,ACTIVOS REALES,Activos Intangibles,9240.0
2026-08-12,ACTIVOS REALES,Activos Intangibles,50000.0
2026-08-12,ACTIVOS REALES,Activos Intangibles,435782.13
2026-08-12,ACTIVOS REALES,Activos Museológicos y Culturales,7663.04
2026-08-12,ACTIVOS REALES,Activos de Origen Animal,37150.0
2026-08-12,ACTIVOS REALES,"CONSULTORÍA PARA CAPACITACIÓN, TRANSFERENCIA DE TECNOLOGÍA Y ORGANIZACIÓN PARA PROCESOS PRODUCTIVOS, EN PROYECTOS DE INVERSIÓN ESPECÍFICOS",3083.3300000000017
2026-08-12,ACTIVOS REALES,"CONSULTORÍA PARA CAPACITACIÓN, TRANSFERENCIA DE TECNOLOGÍA Y ORGANIZACIÓN PARA PROCESOS PRODUCTIVOS, EN PROYECTOS DE INVERSIÓN ESPECÍFICOS",3234.0
2026-08-12,ACTIVOS REALES,"CONSULTORÍA PARA CAPACITACIÓN, TRANSFERENCIA DE TECNOLOGÍA Y ORGANIZACIÓN PARA PROCESOS PRODUCTIVOS, EN PROYECTOS DE INVERSIÓN ESPECÍFICOS",3958.0
