id,municipio,departamento,gestion,mes_reporte,sector,subsector,detalle_obra,fuente_bs,contraparte_bs,mdprya_bs,inversion_total,programa,entidad_financiadora,entidad_ejecutora,beneficiarios,codigo_ine,nombre_geo,departamento_geo,provincia,fecha_inicio_orden_proceder,fecha_conclusion,plazo_ejecucion,comunidades,estado_inicio,estado_preinversion,estado_ejecucion,estado_paralizado,estado_recepcion_provisional,estado_entrega_definitiva,estado_licitacion,estado_conclusion,avance_fisico_porcentaje,avance_financiero_porcentaje,fecha_tentativa_inauguracion,detalle_obra_proyecto,hectareas_conexiones_atendidas,empresa_constructora,empresa_supervisora,viceministerio,sisin_web
79754,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,MODERNIZAR LA PRODUCCIÓN DE CARNE DE CUY CON LA IMPLEMENTACIÓN DE INFRAESTRUCTURA TECNIFICADA EN LA ASOCIACIÓN “AIPCA” DE AVICHACA,1029000.00,441358.19,0.00,1470358.19,PAR III,Banco Mundial,EMPODERAR,49,020201,Achacachi,La Paz,Omasuyos,2024-02-07,2026-01-07,729,Comunidad Avichaca,,,X,,,,,,17.00,22.00,,"LA ASOCIACIÓN INTEGRAL DE PRODUCTORES DE CUY PECUARIOS DE AVICHACA “AIPCA”, INCREMENTARÁ LA PRODUCCIÓN Y COMERCIALIZACIÓN DE CARNE DE CUY...",0.00,,,VDAyDI,
79611,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Infraestructura,CONSTRUCCIÓN PUENTE VEHICULAR CALA CALA ALTA,652168.04,163042.01,0.00,815210.05,PAR III,Banco Mundial,EMPODERAR,64,020201,Achacachi,La Paz,Omasuyos,2025-06-25,2026-09-01,199,COMUNIDAD CALA CALA,,,,X,,,,,93.00,0.00,,"Puente vehicular de 15.00 metros de una sola vía, puente viga-losa, Hormigón Armado, de un solo tramo.",0.00,CALLE LAURA ASOCIADOS SRL,JOSE AMADO AGUILERA QUISPE,VDAyDI,0047-50656-00000
79621,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Infraestructura,CONSTRUCCIÓN PUENTE VEHICULAR JALLPSU PONGONHUYO,802866.09,200716.52,0.00,1003582.61,PAR III,Banco Mundial,EMPODERAR,62,020201,Achacachi,La Paz,Omasuyos,2025-05-26,2025-10-22,150,COMUNIDAD PONGON HUYO - ZONA CENTRO,,,,,,X,,,100.00,94.87,,"Puente vehicular de 18.60 metros de una sola vía, con infraestructura de hormigón Armado y superestructura de hormigón postensado, de un solo...",0.00,EMPRESA CONSTRUCTORA COSTA DEL SOL SRL,DAVID GUAYGUA MONASTERIOS,VDAyDI,0047-50657-00000
79292,ACHACACHI,LA PAZ,2026,8,RECURSOS HÍDRICOS,MANEJO INTEGRAL DE CUENCAS - MIC,MANEJO INTEGRAL DE LA CUENCA DEL RIO CHIARUYO,1260199.76,2103938.14,0.00,3364137.90,PLAN NACIONAL DE CUENCAS II,SUIZABELGICAALEMANIA,DGCRH,242,020201,Achacachi,La Paz,Omasuyos,2016-12-13,2018-12-04,485,CHIARUYO,,,,X,,,,,92.00,89.18,,,3028.00,,,VRHRAPySB,B24-89796-00000
80681,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,Mejorar e Incrementar la producción y comercialización de la carne de Cuy,470750.00,202580.00,0.00,673330.00,PAR III,Banco Mundial,EMPODERAR,26,020201,Achacachi,La Paz,Omasuyos,2025-02-13,2027-02-13,730,Ocorani,,,X,,,,,,5.00,10.00,,Mejorar la producción en cantidad y en calidad en un 60% de la producción de la carne de Cuy,0.00,,,VDAyDI,
81637,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,RIEGO,SISTEMA DE RIEGO ARASAYA LLOCO PUTUNCO,551671.25,0.00,0.00,551671.25,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,17,020201,Achacachi,La Paz,Omasuyos,2024-10-09,2025-11-15,431,LLOCO PUTUNCO,,,,,,X,,,0.00,0.00,2026-11-30,El sistema de riego ha desistido oficialmente,17.00,RIEGO TODO SRL,,VRHRAPySB,TPP00860000089
79959,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,RIEGO,SISTEMA DE RIEGO CHALLAJAHUIRA,1298900.00,0.00,0.00,1298900.00,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,40,020201,Achacachi,La Paz,Omasuyos,2024-10-09,2025-11-15,431,CALLAJAHUIRA,,,,,,X,,,0.00,0.00,2026-11-30,El sistema de riego ha desistido oficialmente,40.00,RIEGO TODO SRL,,VRHRAPySB,TPP00860000088
81636,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,RIEGO,SISTEMA DE RIEGO COMUNIDAD SULLULLUNI - UMACORIZA,564098.59,0.00,0.00,564098.59,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,17,020201,Achacachi,La Paz,Omasuyos,2024-10-09,2025-11-15,431,SULLULLUNI,,,,,,X,,,0.00,0.00,2026-11-30,El sistema de riego ha desistido oficialmente,17.00,RIEGO TODO SRL,,VRHRAPySB,TPP00860000086
80048,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,INCREMENTAR LA PRODUCCION DE LECHE FRESCA EN LA COMUNIDAD CENTRO WARI,707548.25,370278.01,0.00,1077826.26,PAR III,Banco Mundial,EMPODERAR,37,020201,Achacachi,La Paz,Omasuyos,2024-11-11,2026-09-11,728,Comunidad Centro Wari,,,X,,,,,,12.00,17.00,,"COMUNIDAD CENTRO WARI, INCREMENTA LA PRODUCCION DE LECHE FRESCA DE 630000 LT/AÑO A 787500 LT/AÑO, APRECIO DE 3,4 BS/LT, LA ENTREGA ES EN LUGAR...",0.00,,,VDAyDI,
80464,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,Incrementar la Producción de Leche en la Asociación de Productores Lecheros Multiactvos de Marca Masaya,524125.00,452995.00,0.00,977120.00,PAR III,Banco Mundial,EMPODERAR,29,020201,Achacachi,La Paz,Omasuyos,2024-11-11,2026-10-11,729,Marca Masaya,,,X,,,,,,30.00,35.00,,"El negocio consiste en la producción de leche fresca de 722700 Lts/año a un precio de 3,4 Bs/Lts con un ingreso anual bruto de 2457180 Bs/año",0.00,,,VDAyDI,
79689,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,RIEGO,SISTEMA DE RIEGO PAMPA BELEN,1750188.26,0.00,0.00,1750188.26,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,53,020201,Achacachi,La Paz,Omasuyos,2024-10-09,2025-11-15,431,PAMPA BELEN,,,,,,X,,,0.00,0.00,2026-11-30,El sistema de riego ha desistido oficialmente,53.00,RIEGO TODO SRL,,VRHRAPySB,TPP00860000087
79329,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,AGRICOLA,CONSTRUCCION DE QOTAÑAS PARA LA PRODUCCIÓN AGRÍCOLA EN LAS COMUNIDADES DEL MUNICIPIO DE ACHACACHI,2000000.00,85000.00,0.00,2085000.00,FDI,FDI,GAM ACHACACHI,210,020201,Achacachi,La Paz,Omasuyos,2024-08-10,2026-07-04,546,"Cachi Lipe, Carmen Lipe, Kjasina Norte, Morocollo, Pajchani Grande, Pallarete, Santiago de Pacharia, Ajaria Tawantisuyo, Ajaria Challapampa, Ajaria Alta, Kjasina Grande, Pajchani Grande (Zona B), Santiago de Pacharia (Zona B), Tola Tola Alta, Tola Tola...",,,X,,,,,,0.00,0.00,,Implementar la construcción de qotañas empleando la maquinaria pesada (Excavación) para la provisión de agua en las comunidades del municipio...,0.00,,,VDAyDI,12242117600000
79585,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,incremento de la produccion de leche en la comunidad chijipina grande,1290947.32,552102.66,0.00,1843049.98,PAR III,Banco Mundial,EMPODERAR,69,020201,Achacachi,La Paz,Omasuyos,2024-11-11,2026-09-11,728,Chijipina Grande,,,X,,,,,,24.00,29.00,,"incremento de la venta de leche a 1268375 lts/año, a un precio de 3,20 bs/ltscon un ingreso de 4058800 bs/año",0.00,,,VDAyDI,
78879,"ACHACACHI, AUCAPATA, AYATA, CHARAZANI, CHUMA, COMPAYA, HUMANATA, MAPIRI, MOCOMOCO.",LA PAZ,2026,8,RECURSOS HÍDRICOS,RIEGO,ESTRATEGIA DE PLANIFICACIÓN HÍDRICA (EPHIC) DE LA CUENCA RIO CONSATA,1164367.82,0.00,0.00,1164367.82,PROGRAMA NACIONAL DE RIEGO CON ENFOQUE DE CUENCA I (PRITEC I),BID,UCP PPCR,78109,,,,,2025-02-12,2026-05-31,180,,,,,X,,,,,10.00,15.00,,"Contribuir a la reactivación económica con sustitución de importaciones del estado plurinacional, coadyuvando al incremento de la productividad...",3280.88,“CONSULTORA DYMA ASOCIADOS SRL”,UCP PPCR,VRHRAPySB,0086-60592-00000
81996,ACHOCALLA,LA PAZ,2026,8,AGROPECUARIO,AGRICOLA,Mejoramiento de produccion de lechuga de la comunidad Tuni Norte,209680.00,67500.00,0.00,277180.00,PAR III,Banco Mundial,EMPODERAR,10,020104,Achocalla,La Paz,Murillo,2024-08-11,2026-07-11,729,Tuni Norte,,,X,,,,,,34.00,39.00,,El acuerdo del negocio consiste en la entrega de la producción de HORTALIZAS al agente de mercado para su comercialización,8.70,,,VDAyDI,
81283,ACHOCALLA,LA PAZ,2026,8,AGROPECUARIO,AGRICOLA,"Incrementar la extensión productiva de la producción de papa, para duplicar la producción y satisfacer al mercado consumidor.",400961.50,110000.00,0.00,510961.50,PAR III,Banco Mundial,EMPODERAR,20,020104,Achocalla,La Paz,Murillo,2024-02-07,2026-01-07,729,Comunidad De Tuni Norte,,,X,,,,,,73.00,78.00,,Fortalecimiento a la alianza producción de papa entre la Comunidad de Tuni Norte y el agente de mercado Rosmery Malba Carrillo Esquivel.,6.70,,,VDAyDI,
81853,ACHOCALLA,LA PAZ,2026,8,AGROPECUARIO,AGRICOLA,Incremento producción y comercialización de papa en la comunidad de Tuni Centro,235977.00,63491.88,0.00,299468.88,PAR III,Banco Mundial,EMPODERAR,14,020104,Achocalla,La Paz,Murillo,2024-11-11,2026-10-11,729,Comunidad De Tuni Centro,,,X,,,,,,50.00,55.00,,La comunidad incrementara el número de cosechas al año entregando un producto seleccionado por calibre al comprador en el municipio de El Alto...,1.44,,,VDAyDI,
81510,ACHOCALLA,LA PAZ,2026,8,AGROPECUARIO,AGRICOLA,INCREMENTO A LA PRODUCCION Y COMERCIALIZACION DE PAPA EN LA COMUNIDAD DE TUNI SUR,310315.00,83355.64,0.00,393670.64,PAR III,Banco Mundial,EMPODERAR,18,020104,Achocalla,La Paz,Murillo,2024-11-11,2026-09-11,728,Comunidad Tuni Sur,,,X,,,,,,56.00,61.00,,"Incrementar el numero de cosechas al año, entregando un producto seleccionado por calibre al comprador en el municipio de el Alto desde el...",1.80,,,VDAyDI,
79454,ACHOCALLA,LA PAZ,2026,8,AGROPECUARIO,Infraestructura,CONSTRUCCIÓN PUENTE YARIHUAYA PARA ACCESOS DE ALIANZAS PRODUCTIVAS ACHOCALLA,913231.68,223668.17,0.00,1136899.85,PAR III,Banco Mundial,EMPODERAR,120,020104,Achocalla,La Paz,Murillo,2026-10-15,,140,ACHOCALLA - CIUDAD ACHOCALLA,,,,,,,X,,0.00,0.00,,Puente vehicular de 18 me largo de un carril de 4.0 de ancho. La infraestructura esta conformada por dos estribos de fundacion profunda mediante...,0.00,Para contratacion,Para contratacion,VDAyDI,
80143,ACHOCALLA,LA PAZ,2026,8,AGROPECUARIO,AGRICOLA,"Incremento del volumen de producción de lechuga en las comunidades Cañuma Suruzaya, Marquirivi, Allancachu, Allancachu Chico de Sub Central...",734928.00,316072.00,0.00,1051000.00,PAR III,Banco Mundial,EMPODERAR,35,020104,Achocalla,La Paz,Murillo,2025-11-08,2026-08-28,382,Sub Central Cañuma Suruzaya - Achocalla,,,X,,,,,,16.00,21.00,,produccion de lechuga bajo carpas solares,3.12,,,VDAyDI,
79014,"ACHOCALLA,MECAPACA, PUERTO CARABUCO YPUERTO PéREZ.SAN IGNACIO DE MOXOS, MAGDALENA",LA PAZ - BENI,2026,8,AGRICOLA,,"FORTAL. LA PRODUCCIÓN AGROECOLÓGICA Y ACCESO A SEMILLAS LOCALMENTE ADAPTADAS CON RR.GG. EN BENI, La Paz.",1033651.51,0.00,0.00,1033651.51,,ICCA,INIAF,1120,,,,,2026-01-01,2027-12-31,,"BAURES (Alta Gracia, El Cairo, Jasiaquiri, Tujure, San Francisco), MAGDALENA(Nueva Calama), (Santa Rosa del Apere, Santa Ana de Museruna, Santa Rita, San José de Algodonal, Litoral, Monte Grande del Carmen , San Miguel de Matire, MECAPACA ( KERA,...",,,X,,,,,,8.00,11.43,,El proyecto busca promover el acceso de los agricultores a una mayor diversidad de variedades y poblaciones de semillas localmente adaptadas; y...,0.00,,,VDAyDI,0222-01205-00000
79226,AGUA DULCE (C. PTO. GONZALO MORENO),PANDO,2026,8,AGROPECUARIO,Infraestructura,"CONST. PUENTES VEHICULARES Y TRAMO COMUNIDAD SAN PABLO - SAN CARLOS, MUNICIPIO PUERTO GONZALO MORENO",2799978.39,311108.71,0.00,3111087.10,PAR III,Banco Mundial,EMPODERAR,323,,,,,,,,MIRAFLORES - COMUNIDAD SAN CARLOS,,,,,,,X,,0.00,0.00,,"El proyecto consiste en la construccion de dos puentes vehiculares en la comunidades San Pablo - San Carlos con vigas de hormigon armado de 10,0...",0.00,,,VDAyDI,0047-50685-00000
81988,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,RIEGO,IMPLEM. RIEGO TECNIF. PARCELARIO EN EL SIST. DE RIEGO SAN PEDRO MUNICIPIO AIQUILE - Cochabamba,371899.00,0.00,0.00,371899.00,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,11,030201,Aiquile,Cochabamba,Campero,2025-07-30,2025-12-30,153,SAN PEDRO,,,X,,,,,,44.90,44.90,,,11.00,FERTIRRIEGO,,VRHRAPySB,TPP00860000193
81231,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,RIEGO,IMPLEM. RIEGO TECNIF. PARCELARIO EN EL SISTEMA DE RIEGO LAGARPAMPA MUNICIPIO AIQUILE - Cochabamba,710075.10,0.00,0.00,710075.10,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,21,030201,Aiquile,Cochabamba,Campero,2025-07-30,2025-12-30,153,LAGAR PAMPA,,,X,,,,,,45.66,45.66,,,21.00,FERTIRRIEGO,,VRHRAPySB,TPP00860000153
79338,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,AGRICOLA,CONSTRUCCIÓN DE ATAJADOS EN 3 COMUNIDADES DEL MUNICIPIO DE AIQUILE PARA LA PRODUCCIÓN AGRICOLA,2000000.00,773608.71,0.00,2773608.71,FDI,FDI,GAM AIQUILE,203,030201,Aiquile,Cochabamba,Campero,2024-04-27,2026-12-23,970,"Chaguar Mayu, Oloy, Puca Puca",,,X,,,,,,40.00,0.00,,"CONTRIBUIR AL FORTALECIMIENTO DE LA PRODUCCIÓN AGRICOLA MEDIANTE LA CONSTRUCCIÓN DE ATAJADOS PARA EL ALMACENAMIENTO  DE AGUA, GARANTIZANDO LA...",0.00,,,VDAyDI,13071578200000
81822,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,AGRICOLA,MEJORAMIENTO EN LA PRODUCCION Y COMERCIALIZACION DE CEBOLLA - COMUNIDAD  CHINGURI,253711.51,96773.49,0.00,350485.00,PAR III,Banco Mundial,EMPODERAR,15,030201,Aiquile,Cochabamba,Campero,2025-04-08,2026-12-31,514,Chinguri,,,X,,,,,,62.00,67.00,,EL ACUERDO DE NEGOCIO CONSISTE EN LA ENTREGA DE LA PRODUCCION DE CEBOLLA AL AGENTE DE MERCADO PARA SU COMERCIALIZACION,6.00,,,VDAyDI,
79419,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,Infraestructura,AMPLIACION DEL SISTEMA DE RIEGO CHINGURI - AIQUILE,2406887.46,601721.87,0.00,3008609.33,PAR III,Banco Mundial,EMPODERAR,133,030201,Aiquile,Cochabamba,Campero,2025-10-13,2026-07-17,277,CHINGURI (SUB CENTRAL QUIROGA) - COMUNIDAD CHINGURI,,,,,X,,,,100.00,49.93,,Actividades Preliminares Desarenador Obra de Toma Sistema de Conducción y DistribuciónCámaras HidrantesCámaras de DerivaciónCámaras de...,59.95,EMPRESA UNIPERSONAL CONSTRUCTORA Y CONSULTORA ENCCAR,ING. JUAN LUIS FLORES SANCHEZ,VDAyDI,0047-50593-00000
81954,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,RIEGO,IMPLEM. RIEGO TECNIF. PARCELARIO EN EL SIST. DE RIEGO LORO MAYU MUN. AIQUILE - Cochabamba,405708.00,0.00,0.00,405708.00,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,12,030201,Aiquile,Cochabamba,Campero,2025-07-30,2025-12-30,153,LORO MAYU,,,X,,,,,,45.39,45.39,,,12.00,FERTIRRIEGO,,VRHRAPySB,TPP00860000188
80433,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,RIEGO,IMPLEM. RIEGO TECNIF. PARCELARIO EN EL SIST. DE RIEGO NOVILLERO MUN. AIQUILE - Cochabamba,1014270.00,0.00,0.00,1014270.00,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,30,030201,Aiquile,Cochabamba,Campero,2025-07-30,2025-12-30,153,NOVILLERO,,,X,,,,,,45.71,45.71,,,30.00,FERTIRRIEGO,,VRHRAPySB,TPP00860000191
81441,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,RIEGO,IMPLEM. RIEGO TECNIF. PARCELARIO EN EL SIST. DE RIEGO CONST ATAJ SUBCENTRAL CERCADO MUN. AIQUILE - Cochabamba,642371.00,0.00,0.00,642371.00,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,19,030201,Aiquile,Cochabamba,Campero,2025-07-30,2025-12-30,153,AQUILE,,,X,,,,,,45.63,45.63,,,19.00,FERTIRRIEGO,,VRHRAPySB,TPP00860000197
80339,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,RIEGO,IMPLEM. RIEGO TECNIF. PARCELARIO EN EL SIST. DE RIEGO ZAMORA MUNICIPIO AIQUILE - Cochabamba,1048206.10,0.00,0.00,1048206.10,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,31,030201,Aiquile,Cochabamba,Campero,2025-07-30,2025-12-30,153,ZAMORA,,,X,,,,,,45.04,45.04,,,31.00,FERTIRRIEGO,,VRHRAPySB,TPP00860000194
78925,AIQUILE,COCHABAMBA,2026,8,SANEAMIENTO BASICO,ALCATARILLADO SANITARIO,CONST. PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES AIQUILE,9801219.01,2450304.76,0.00,12251523.77,PASCIM,BID,EMAGUA,6356,030201,Aiquile,Cochabamba,Campero,,,270,AIQUILE,X,,,,,,,,0.00,0.00,2026-01-11,"OBJETIVO GENERAL: Contribuir al desarrollo y mejoramiento de la calidad de vida de los pobladores de la ciudad de Aiquile, mediante la...",1816.00,,,VRHRAPySB,0253-00637-00000
79929,AIQUILE,COCHABAMBA,2026,8,AGROPECUARIO,AGRICOLA,Producción y comercialización de papa en la comunidad de Tapera,119507.30,51217.41,0.00,170724.71,PAR III,Banco Mundial,EMPODERAR,40,030201,Aiquile,Cochabamba,Campero,2024-01-02,2026-01-31,730,Tapera,,,X,,,,,,65.00,70.00,,Comercialización de papa de acuerdo a compromiso con el comprador la entrega en bolsas de 8 arrobas y en el lugar de produccion,30.00,,,VDAyDI,
