id,municipio,departamento,gestion,mes_reporte,sector,subsector,detalle_obra,fuente_bs,contraparte_bs,mdprya_bs,inversion_total,programa,entidad_financiadora,entidad_ejecutora,beneficiarios,codigo_ine,nombre_geo,departamento_geo,provincia,fecha_inicio_orden_proceder,fecha_conclusion,plazo_ejecucion,comunidades,estado_inicio,estado_preinversion,estado_ejecucion,estado_paralizado,estado_recepcion_provisional,estado_entrega_definitiva,estado_licitacion,estado_conclusion,avance_fisico_porcentaje,avance_financiero_porcentaje,fecha_tentativa_inauguracion,detalle_obra_proyecto,hectareas_conexiones_atendidas,empresa_constructora,empresa_supervisora,viceministerio,sisin_web
82038,,,2026,8,INDUSTRIA Y TURISMO,INDUSTRIA MANUFACTURERA,IMPLEM. EMPRESA NACIONAL COMERCIO INTERNACIONAL EN BOLIVIA,463152.00,89514.00,0.00,552666.00,,BID,VCIE,0,,,,,2010-01-10,2012-12-31,822,,,X,,,,,,,0.00,50.95,,Implementar una empresa nacional de comercio internacional que facilite a los productores nacionales mayores oportunidades de exportación de la...,0.00,,,VCLI,041-03042-00000
82039,,,2026,8,INDUSTRIA Y TURISMO,INDUSTRIA MANUFACTURERA,DESAR. SISTEMA INF DE EXP Y COM INTERNO A NIVEL NACIONAL,0.00,405955.00,0.00,405955.00,,,VCIE,0,,,,,2010-01-29,2011-12-31,701,,,X,,,,,,,0.00,93.00,,Diseñar la estructura de la base de datos para el manejo y administración de la información de exportaciones y de comercio interno definición...,0.00,,,VCLI,041-03004-00000
82040,,,2026,8,INDUSTRIA Y TURISMO,INDUSTRIA MANUFACTURERA,DESAR. CERTIFICACION COMERCIO JUSTO EN BOLIVIA,0.00,531436.00,0.00,531436.00,,,VCIE,0,,,,,2010-01-02,2011-12-30,697,,,X,,,,,,,0.00,84.93,,O generar normativa necesaria para la implementación del comercio justo en Bolivia o desarrollar el sello nacional para la certificación de...,0.00,,,VCLI,041-03005-00000
82041,,,2026,8,INDUSTRIA Y TURISMO,INDUSTRIA MANUFACTURERA,DESAR. SUPERMERCADOS POPULARES EN LA RED TRONCAL DE BOLIVIA,0.00,381293.00,0.00,381293.00,,,VCIE,0,,,,,2010-01-02,2011-12-30,697,,,X,,,,,,,0.00,96.90,,O comercializar al detalle productos estratégicos de consumo para su comercialización o acopiar los productos estratégicos de EMAPA CARTONBOL...,0.00,,,VCLI,041-03006-00000
82042,,,2026,8,INDUSTRIA Y TURISMO,INDUSTRIA MANUFACTURERA,IMPLEM. SIST. LOGISTICA TRANSPORTE Y COMERCIALIZACION EN BOLIVIA,0.00,349000.00,0.00,349000.00,,,VCIE,0,,,,,2012-02-01,2012-12-31,364,,,X,,,,,,,0.00,42.69,,Integrar medios logísticos dentro de la cadena productiva de los micro y pequeños productores del país formular alternativas para la...,0.00,,,VCLI,041-03050-00000
81328,,TARIJA,2026,8,AGROPECUARIO,RIEGO,IMPLEMENTACIÓN DEL SISTEMA DE RIEGO TECNIFICADO PARCELARIO EN EL SISTEMA DE RIEGO PRESA IPA,464350.00,0.00,0.00,464350.00,PROGRAMA RUMBO A LA SOBERANIA ALIMENTARIA CON TECNOLOGÍA DE RIEGO TPP,CORPORACIÓN ANDINA DE FOMENTO-BANCO DE DESARROLLO DE AMERICA LATINA,UTEP PATRIA AGUA,20,,,,,2024-10-09,2026-02-26,534,,,,,X,,,,,0.00,0.00,,El sistema se encuentra catalogado. Actualmente se esta a la espera de la inscripcion de presupuesto el inicio de actividades.,20.00,COBIMAR S.R.L.,,VRHRAPySB,TPP-0041-0000011
82052,2026 NO HAY ACTIVIDAD DE CAMPO SOLO ADQUISICONES DE INSUMOS PARA LOS CENTROS DE INNOVACION,LA PAZ,2026,8,AGRICOLA,,"DESAR. DE TECNOLOGIAS PARA EL INCREMENTO DE LA PRODUCTIVIDAD DE PAPA EN COMUNIDADES MODELO DE LP, CB, SC Y PT",13528750.00,0.00,0.00,13528750.00,,KOPIA,INIAF,0,,,,,2022-01-02,2026-06-30,,,,,X,,,,,,98.00,94.07,,Uno de los principales objetivos del proyecto es fortalecer el proceso productivo del cultivo de papa para incrementar ingresos económicos de...,0.00,,,VDAyDI,0222-01176-00000
79575,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,"OPTIMIZACIÓN DE LA PRODUCCIÓN LECHERA CON LA IMPLEMENTACIÓN DE INFRAESTRUCTURA PRODUCTIVA EN LA SUB CENTRAL DE TACAMARA, MUNICIPIO DE ACHACACHI.",1491000.00,654404.51,0.00,2145404.51,PAR III,Banco Mundial,EMPODERAR,71,020201,Achacachi,La Paz,Omasuyos,2024-10-17,2026-10-17,730,Subcentral Agraria Tacamara,,,X,,,,,,18.00,23.00,,"EL ACUERDO DE NEGOCIO CONSISTE EN LA VENTA DE 998640 LT/AÑO DE LECHE FRESCA A UN PRECIO DE 3,4 BS./LT CON UN INGRESO NETO DE 2203894,40 BS/AÑO...",228.00,,,VDAyDI,
80335,ACHACACHI,LA PAZ,2026,8,AGROPECUARIO,Pecuario,"INCREMENTO DE LA PRODUCCION DE LECHE  EN LA ASOCIACION PRODUCTORES LECHEROS ORIGINARIOS QURI HUANACU ""A.P.L.O.Q.HU.""",646789.87,381951.00,0.00,1028740.87,PAR III,Banco Mundial,EMPODERAR,31,020201,Achacachi,La Paz,Omasuyos,2025-11-08,2026-08-28,382,Comunidad De Huanacu,,,X,,,,,,58.00,63.00,,INCREMENTO DE LA CAPACIDAD PRODUCTIVA Y DE COMERCIALIZACIÓN DE LECHE POR LA COMUNIDAD DE HUANACU PARA CUMPLIR EL ACUERDO DE NEGOCIO CON LA...,0.00,,,VDAyDI,
79016,ACHACACHI,LA PAZ,2026,8,RECURSOS HÍDRICOS,MANEJO INTEGRAL DE CUENCAS - MIC,MANEJO INTEGRAL DE LA CUENCA LAGUNA LARAMKHOTA,5187517.93,5163076.43,0.00,10350594.36,PLAN NACIONAL DE CUENCAS II,SUIZABELGICAALEMANIA,DGCRH,1075,020201,Achacachi,La Paz,Omasuyos,2016-05-23,2019-05-29,1101,"CHOJÑACALA, PARQUI PARARANI, TAYPI PARARANI, YACACHI GRANDE Y CARIZA.",,,,X,,,,,21.00,19.36,,,5956.00,,,VRHRAPySB,B24-89797-00000
