fecha_despacho_efectivo,fecha_despacho_efectivo_hora,fecha_despacho_programado,despacho_confirmado,fecha_despacho_difiere_de_programado,distrito_nombre,producto_despachado,cantidad_despachada,unidad,cliente,placa_despacho,familia,familia_codigo,ambito,estacion
2026-09-18,,2026-09-18,True,False,Monteagudo,GLP DISTRIB. 10 KILOS NAL,3000.0,L,LELITH BARRIGA ALVAREZ,655-LIY,GLP,GLP,,
2026-09-18,,2026-09-18,True,False,Monteagudo,GLP DISTRIB. 10 KILOS NAL,2160.0,L,LIMACHI YOSELIN,3161-NUP,GLP,GLP,,
2026-09-18,,2026-09-18,True,False,Monteagudo,GLP DISTRIB. 10 KILOS NAL,1620.0,L,MARCELINO QUISPE MICHAGA,1286-XPD,GLP,GLP,,
2026-09-18,,2026-09-18,True,False,Monteagudo,GLP DISTRIB. 10 KILOS NAL,2100.0,L,LELITH BARRIGA ALVAREZ,1658-EZL,GLP,GLP,,
2026-09-18,,2026-09-18,True,False,Monteagudo,DIESEL OIL NACIONAL EESS,8000.0,L,COOP. SAN JOSE OBRERO LTDA. EST.SERV. MONTEAGUDO,1063-HRI,Diesel Oil Nacional,DIESEL_NACIONAL,,
2026-09-18,,2026-09-18,True,False,Monteagudo,GASOLINA ESPECIAL EESS,12000.0,L,COOP. SAN JOSE OBRERO LTDA. EST.SERV. MONTEAGUDO,1063-HRI,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-18,,2026-09-18,True,False,Monteagudo,GLP DISTRIB. 10 KILOS NAL,2660.0,L,LELITH BARRIGA ALVAREZ,655-LIY,GLP,GLP,,
2026-09-18,,2026-09-18,True,False,Monteagudo,GLP DISTRIB. 10 KILOS NAL,2000.0,L,ALVAREZ CALDERON OSCAR,305-CGH,GLP,GLP,,
2026-09-17,2026-09-17T14:49:49.347000+00:00,2026-09-17,True,False,Monteagudo,DIESEL OIL NACIONAL EESS,6000.0,L,COOP. SAN JOSE OBRERO LTDA. EST.SERV. MONTEAGUDO,1063-HRI,Diesel Oil Nacional,DIESEL_NACIONAL,,
2026-09-17,2026-09-17T14:49:49.347000+00:00,2026-09-17,True,False,Monteagudo,GASOLINA ESPECIAL EESS,6000.0,L,COOP. SAN JOSE OBRERO LTDA. EST.SERV. MONTEAGUDO,1063-HRI,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-16,2026-09-16T14:55:36.537000+00:00,2026-09-16,True,False,Monteagudo,DIESEL OIL NACIONAL EESS,6000.0,L,COOP. SAN JOSE OBRERO LTDA. EST.SERV. MONTEAGUDO,1063-HRI,Diesel Oil Nacional,DIESEL_NACIONAL,,
2026-09-16,2026-09-16T14:55:36.537000+00:00,2026-09-16,True,False,Monteagudo,GASOLINA ESPECIAL EESS,6000.0,L,COOP. SAN JOSE OBRERO LTDA. EST.SERV. MONTEAGUDO,1063-HRI,Gasolina Especial,GASOLINA_ESPECIAL,,
