idinstitucion,institucion,ubicacion,publicaprivada,acronimo,color
4,GOBIERNO AUTONOMO DEPARTAMENTAL DE CHUQUISACA,PLAZA 25 MAYO,PUBLICA,GADCH,#e6e916
12,ORGANO EJECUTIVO NACIONAL,LA PAZ PLAZA MURILLLO PLACIO QUEMADO,PUBLICA,OEP,#0033ff
13,Instituto Nacional de EstadÃ­stica ,La Paz Plaza EspaÃ±a,PUBLICA,INE,#0000ff
14,Ministerio de PlanificaciÃ³n y Desarrollo ,La Paz El Prado,PUBLICA,MPD,#0000ff
15,Organo legislativo senado,Plaza Murillo ,PUBLICA,OES,#0000ff
18,ComisiÃ³n Interinstitucional de Santa Cruz ,Departamento de Santa Cruz ,PUBLICA,CISC,#00ff00
20,SECRETARIA DE SEGURIDAD CIUDADANA,HONDURAS,PUBLICA,SSCH,#2e377a
21,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Calle 13 Calacoto,PUBLICA,ATT,#da1616
23,"Ministerio de Desarrollo Productivo, Rural y Agua ",Av. Ma,"Av. Mariscal Santa Cruz, Edificio Centro de Comunicaciones La Paz,",MDPRyA,#000000
